Date,Open,High,Low,Close,Adj Close,Volume
2023-10-23,69.139999,69.459999,68.709999,68.750000,66.817360,4183900
2023-10-24,69.250000,69.519997,68.940002,69.279999,67.332458,3222900
2023-10-25,69.000000,69.139999,68.389999,68.540001,66.613258,3660500
2023-10-26,68.389999,68.760002,68.169998,68.180000,66.263374,3819300
2023-10-27,68.059998,68.059998,66.669998,66.900002,65.019363,6604000
2023-10-30,67.300003,67.830002,67.190002,67.690002,65.787163,5224400
2023-10-31,67.720001,68.070000,67.379997,68.059998,66.146744,4241000
2023-11-01,68.150002,68.300003,67.650002,68.150002,66.234222,4250300
2023-11-02,68.550003,69.690002,68.550003,69.669998,67.711494,5740600
2023-11-03,70.230003,70.559998,70.139999,70.250000,68.275192,3934800
2023-11-06,70.250000,70.370003,69.720001,69.940002,67.973907,3538900
2023-11-07,69.760002,69.820000,69.550003,69.699997,67.740654,3456900
2023-11-08,69.800003,69.879997,69.360001,69.570000,67.614304,3113700
2023-11-09,69.660004,69.669998,68.709999,68.769997,66.836792,3390500
2023-11-10,69.160004,69.500000,68.610001,69.440002,67.487961,3341100
2023-11-13,69.199997,69.440002,69.000000,69.269997,67.322731,4028000
2023-11-14,70.150002,71.019997,70.099998,70.800003,68.809731,3966800
2023-11-15,70.879997,71.519997,70.879997,71.339996,69.334549,3032200
2023-11-16,71.010002,71.129997,70.410004,70.769997,68.780571,3650200
2023-11-17,71.160004,71.230003,70.820000,71.139999,69.140167,2925700
2023-11-20,70.980003,71.639999,70.910004,71.489998,69.480331,4184000
2023-11-21,71.309998,71.370003,71.080002,71.300003,69.295677,2929700
2023-11-22,71.419998,71.650002,71.320000,71.529999,69.519211,2847000
2023-11-24,71.599998,71.809998,71.580002,71.800003,69.781616,2071000
2023-11-27,71.620003,71.660004,71.309998,71.440002,69.431740,5225900
2023-11-28,71.400002,71.769997,71.199997,71.540001,69.528931,3692900
2023-11-29,71.910004,72.190002,71.790001,71.830002,69.810783,3597000
2023-11-30,72.080002,72.410004,71.839996,72.349998,70.316162,3203800
2023-12-01,72.190002,73.190002,72.070000,73.150002,71.093674,4403800
2023-12-04,72.800003,73.500000,72.800003,73.440002,71.375519,4313600
2023-12-05,73.279999,73.279999,72.889999,73.010002,70.957603,3329300
2023-12-06,72.430000,72.660004,72.080002,72.129997,70.822105,5463900
2023-12-07,72.300003,72.540001,72.029999,72.400002,71.087219,3245700
2023-12-08,72.470001,72.760002,72.260002,72.519997,71.205032,6446700
2023-12-11,72.820000,73.250000,72.760002,73.220001,71.892349,6721400
2023-12-12,73.300003,73.379997,72.919998,73.260002,71.931625,4910200
2023-12-13,73.000000,74.470001,72.900002,74.470001,73.119682,4040500
2023-12-14,75.040001,75.970001,75.040001,75.690002,74.317558,4915300
2023-12-15,75.370003,75.730003,75.250000,75.449997,74.081909,4912400
2023-12-18,75.809998,75.839996,75.519997,75.550003,74.180099,4320500
2023-12-19,75.769997,76.050003,75.690002,75.970001,74.592484,3438500
2023-12-20,75.809998,76.029999,74.800003,74.830002,73.473152,3588000
2023-12-21,75.279999,75.430000,74.760002,75.389999,74.022995,3186900
2023-12-22,75.620003,76.160004,75.559998,75.849998,74.474655,3198300
2023-12-26,75.930000,76.440002,75.849998,76.220001,74.837944,3599500
2023-12-27,76.269997,76.440002,76.080002,76.279999,74.896858,3483000
2023-12-28,76.269997,76.449997,76.160004,76.320000,74.936134,3324300
2023-12-29,76.260002,76.389999,75.870003,76.129997,74.749573,3859800
2024-01-02,75.860001,77.000000,75.839996,76.690002,75.299423,6862200
2024-01-03,76.540001,76.669998,76.099998,76.209999,74.828125,3633300
2024-01-04,76.330002,76.639999,76.099998,76.120003,74.739761,3978900
2024-01-05,76.120003,76.650002,75.870003,76.370003,74.985229,3551500
2024-01-08,76.269997,76.879997,76.000000,76.820000,75.427071,4591600
2024-01-09,76.440002,76.540001,76.139999,76.410004,75.024506,2921500
2024-01-10,76.400002,76.500000,76.080002,76.370003,74.985229,5790600
2024-01-11,76.360001,76.410004,75.610001,76.059998,74.680847,3357500
2024-01-12,76.449997,76.660004,75.989998,76.269997,74.887039,3594000
2024-01-16,76.099998,76.160004,75.489998,75.709999,74.337189,4935500
2024-01-17,75.180000,75.580002,74.910004,75.250000,73.885536,4281100
2024-01-18,75.480003,75.779999,75.089996,75.699997,74.327370,3570500
2024-01-19,75.970001,76.750000,75.589996,76.589996,75.201233,4093600
2024-01-22,76.680000,77.089996,76.599998,76.919998,75.525253,4456300
2024-01-23,76.940002,77.080002,76.699997,76.940002,75.544899,3138000
2024-01-24,77.230003,77.230003,76.379997,76.400002,75.014687,4569500
2024-01-25,77.040001,77.089996,76.650002,77.070000,75.672531,4059800
2024-01-26,77.150002,77.279999,76.830002,77.019997,75.623436,3672300
2024-01-29,77.080002,77.349998,76.809998,77.330002,75.927826,3717000
2024-01-30,77.010002,77.279999,76.790001,77.190002,75.790359,2584600
2024-01-31,77.169998,77.169998,76.230003,76.239998,74.857582,4175600
2024-02-01,76.440002,77.040001,75.910004,77.040001,75.643074,3502300
2024-02-02,76.809998,77.309998,76.419998,77.000000,75.603798,3567300
2024-02-05,76.809998,76.809998,76.160004,76.379997,74.995041,3880100
2024-02-06,76.669998,76.879997,76.550003,76.750000,75.358337,3628000
2024-02-07,77.129997,77.160004,76.599998,76.870003,75.476166,2826300
2024-02-08,76.970001,77.110001,76.690002,77.070000,75.672531,2478100
2024-02-09,76.970001,76.970001,76.500000,76.790001,75.397614,3263200
2024-02-12,76.820000,77.470001,76.809998,77.260002,75.859093,3326400
2024-02-13,76.690002,76.720001,75.480003,76.080002,74.700485,4218200
2024-02-14,76.410004,76.480003,75.919998,76.379997,74.995041,3517300
2024-02-15,76.519997,77.300003,76.519997,77.239998,75.839447,3504800
2024-02-16,77.029999,77.440002,76.809998,76.980003,75.584167,3151400
2024-02-20,76.809998,77.290001,76.669998,76.970001,75.574348,4727600
2024-02-21,77.050003,77.309998,76.739998,77.279999,75.878723,2785900
2024-02-22,77.379997,78.000000,77.260002,77.800003,76.389305,3120100
2024-02-23,77.889999,78.139999,77.779999,77.889999,76.477661,4188400
2024-02-26,77.889999,78.019997,77.360001,77.470001,76.065277,2890600
2024-02-27,77.510002,77.580002,77.269997,77.540001,76.134010,2729400
